Feature,Smell,Spearman_rho,p_value,Significance (Bonferroni)
refactorizable_Set.Comprehension_norm,smell_long lambda function,0.025776701860440347,0.6549385609679521,
PY_List.Comprehension_norm,smell_long statement,0.025643589055044647,0.6566063866362732,
PY_List.Comprehension_norm,smell_long message chain,0.02467619852934099,0.6687779728719438,
refactorizable_Chain.Compare_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.024590967595294496,0.6698545602095699,
refactorizable_Assign.Multi.Targets_norm,smell_long lambda function,0.024064924185777808,0.6765141055781229,
refactorizable_Dict.Comprehension_norm,smell_long lambda function,0.02376287988991439,0.6803493414973492,
refactorizable_Chain.Compare_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.023754133465598327,0.6804605232856709,
PY_For.Multi.Targets_norm,smell_empty catch block,-0.023493165940409788,0.6837810301107892,
PY_For.Else_norm,smell_long parameter list,-0.023381142444351747,0.6852082715248069,
PY_Dict.Comprehension_norm,smell_magic number,0.022996217240272447,0.6901209309603321,
PY_Chain.Compare_norm,ML_Specific_Code_Smell_tensor_array_not_used,0.022683084019677915,0.6941269526855256,
refactorizable_Assign.Multi.Targets_norm,smell_long statement,0.022414204219601306,0.697573628725465,
PY_For.Else_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,-0.022152568835404337,0.7009334121741795,
PY_Call.Star_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.021463779217324792,0.7098062098657067,
PY_For.Else_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.021391172605048768,0.7107438183359611,
PY_For.Else_norm,smell_long method,-0.02045959234201367,0.7228120284846387,
PY_For.Else_norm,smell_complex conditional,0.02026351079550273,0.7253610604625331,
PY_Chain.Compare_norm,smell_long identifier,0.020205700734584057,0.7261131627229268,
refactorizable_Dict.Comprehension_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.019107871500030574,0.7404449272965626,
refactorizable_Truth.Value.Test_norm,smell_long parameter list,0.016922597425227896,0.7692367898330918,
PY_For.Multi.Targets_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.01681014895389591,0.7707273289569138,
refactorizable_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.01654585300101925,0.7742339628890716,
refactorizable_Assign.Multi.Targets_norm,smell_empty catch block,-0.016487284969835956,0.7750116571445005,
refactorizable_List.Comprehension_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.015439851835071215,0.7889572056335548,
refactorizable_Truth.Value.Test_norm,smell_empty catch block,-0.015078414788736842,0.7937852934782219,
PY_Set.Comprehension_norm,ML_Specific_Code_Smell_tensor_array_not_used,0.01498382518357518,0.7950501319038854,
PY_For.Else_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.01434085962826516,0.8036618225985794,
PY_Call.Star_norm,smell_long statement,0.013602950473272165,0.8135744050538123,
PY_Set.Comprehension_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.013218055640463144,0.818756749707022,
refactorizable_For.Multi.Targets_norm,smell_long lambda function,-0.012333413902867726,0.8306973945561189,
PY_Chain.Compare_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.011198641525144852,0.846070995126463,
refactorizable_Assign.Multi.Targets_norm,smell_long identifier,0.010951619406107015,0.8494255413771838,
refactorizable_Truth.Value.Test_norm,smell_magic number,0.010772592068661761,0.8518584225439654,
PY_List.Comprehension_norm,smell_long parameter list,0.010661876153158117,0.853363693573595,
refactorizable_For.Multi.Targets_norm,smell_long identifier,0.0094045961273758,0.87049340539485,
refactorizable_Call.Star_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.008615606841607166,0.8812744117902872,
PY_Call.Star_norm,smell_long method,0.008614192503264251,0.8812937580529745,
